Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_1206_3216Metric,102.1,-91.6,-90.0,top
C2,10µF,C_1206_3216Metric,104.6,-91.6,-90.0,top
C3,100nF,C_0603_1608Metric,106.7,-90.775,-90.0,top
C4,100nF,C_0603_1608Metric,115.4,-86.3,-90.0,top
C5,10nF,C_0603_1608Metric,110.4,-95.1,-90.0,top
C6,2.7nF,C_0603_1608Metric,116.3,-98.2,-90.0,top
C7,10nF,C_0603_1608Metric,123.0,-95.6,0.0,top
C8,100nF,C_0603_1608Metric,141.6,-92.525,-90.0,top
C9,22µF,C_1210_3225Metric,132.3,-93.3,-90.0,top
C10,22µF,C_1210_3225Metric,135.7,-93.3,-90.0,top
C11,22µF,C_1210_3225Metric,139.1,-93.3,-90.0,top
C12,22µF,C_1210_3225Metric,140.8,-85.9,-90.0,top
L1,3.6µH,L_Vishay_IHLP-4040,123.8,-88.675,0.0,top
L2,10µH,L_Wuerth_HCM-7050,135.2,-84.8,90.0,top
R1,100kΩ,R_0603_1608Metric,108.3,-90.775,-90.0,top
R2,15.8kΩ,R_0603_1608Metric,116.3,-95.1,-90.0,top
R3,2.2kΩ,R_0603_1608Metric,119.8,-97.3,180.0,top
R4,100Ω,R_0603_1608Metric,123.0,-97.3,0.0,top
RV1,47kΩ,Potentiometer_Bourns_TC33X_Vertical,127.3,-97.45,-90.0,top
U1,AP64501,Diodes_SO-8EP,112.9025,-90.57,0.0,top
